Format Version,1.23,Take Name,Take 2022-05-03 11.57.42 AM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2022-05-03 11.57.43.018 AM,Capture Start Frame,291474,Total Frames in Take,369,Total Exported Frames,369,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1000,Unlabeled 1000,Unlabeled 1000,Unlabeled 1001,Unlabeled 1001,Unlabeled 1001,Unlabeled 1002,Unlabeled 1002,Unlabeled 1002,Unlabeled 1003,Unlabeled 1003,Unlabeled 1003,Unlabeled 1004,Unlabeled 1004,Unlabeled 1004,Unlabeled 1005,Unlabeled 1005,Unlabeled 1005,Unlabeled 1006,Unlabeled 1006,Unlabeled 1006,Unlabeled 1007,Unlabeled 1007,Unlabeled 1007,Unlabeled 1008,Unlabeled 1008,Unlabeled 1008,Unlabeled 1009,Unlabeled 1009,Unlabeled 1009,Unlabeled 1010,Unlabeled 1010,Unlabeled 1010,Unlabeled 1011,Unlabeled 1011,Unlabeled 1011
,ID,"C4F60","C4F60","C4F60","C5410","C5410","C5410","C5BD0","C5BD0","C5BD0","C8880","C8880","C8880","C8C10","C8C10","C8C10","C53A0","C53A0","C53A0","C8C20","C8C20","C8C20","C8C30","C8C30","C8C30","C8C40","C8C40","C8C40","C8C50","C8C50","C8C50","C8C60","C8C60","C8C60","C8C70","C8C70","C8C70"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-3640.266846,201.148865,2685.014404,1732.785645,167.257660,265.492859,1103.231689,60.627342,1283.137451,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.008000,-3640.279053,201.164078,2685.071045,1732.799561,167.258606,265.496063,1103.225220,60.648052,1283.103760,1902.672241,-454.596039,110.344353,-5666.534180,3675.928711,-3700.320312,,,,,,,,,,,,,,,,,,,,,
2,0.016000,-3640.236572,201.157547,2685.026611,,,,1103.232544,60.659451,1283.126953,,,,-5666.588379,3675.957520,-3700.326172,,,,,,,,,,,,,,,,,,,,,
3,0.025000,-3640.267334,201.074005,2685.032471,,,,1103.184692,60.616375,1283.122070,,,,-5666.589355,3675.949951,-3700.332520,,,,,,,,,,,,,,,,,,,,,
4,0.033000,-3640.240234,201.082245,2685.014160,1732.795776,167.223816,265.466034,1103.176392,60.619347,1283.120972,1902.637329,-454.590088,110.330330,,,,,,,,,,,,,,,,,,,,,,,,
5,0.041000,-3640.278320,201.104309,2685.049316,,,,1103.251343,60.648537,1283.111084,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.050000,-3640.281006,201.204544,2685.034424,1732.757324,167.200378,265.481354,1103.212158,60.658096,1283.137329,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.058000,-3640.271484,201.132660,2685.009277,,,,1103.199707,60.623535,1283.105957,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.066000,-3640.276611,201.133026,2685.045898,1732.805786,167.194794,265.464813,1103.232422,60.613106,1283.128052,,,,-5666.555176,3675.924805,-3700.324707,,,,,,,,,,,,,,,,,,,,,
9,0.075000,-3640.266357,201.143738,2685.042969,,,,1103.209717,60.659050,1283.163818,,,,-5666.583984,3675.951416,-3700.332031,,,,,,,,,,,,,,,,,,,,,
10,0.083000,-3640.282471,201.118042,2685.051025,,,,1103.191040,60.603088,1283.131470,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.091000,-3640.244873,201.086548,2684.999268,1732.805542,167.282028,265.463440,1103.217651,60.617317,1283.126831,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.100000,-3640.267334,201.134384,2684.992920,1732.780518,167.266998,265.489594,1103.207397,60.621620,1283.111084,,,,-5666.554688,3675.919434,-3700.322266,,,,,,,,,,,,,,,,,,,,,
13,0.108000,-3640.277832,201.157272,2685.039551,1732.811890,167.242386,265.475433,1103.167725,60.631577,1283.140381,,,,-5666.579590,3675.917725,-3700.342041,,,,,,,,,,,,,,,,,,,,,
14,0.116000,-3640.294434,201.152802,2685.053467,1732.795410,167.245255,265.479767,1103.214600,60.632103,1283.118530,,,,-5666.567383,3675.922363,-3700.331299,,,,,,,,,,,,,,,,,,,,,
15,0.125000,-3640.265381,201.098801,2685.031250,1732.790283,167.232483,265.493286,1103.172485,60.597420,1283.110352,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.133000,-3640.283691,201.152115,2685.009766,,,,1103.217407,60.629005,1283.120361,,,,-5666.541992,3675.923340,-3700.331787,,,,,,,,,,,,,,,,,,,,,
17,0.141000,-3640.279785,201.189240,2685.057129,,,,1103.199707,60.647541,1283.110352,,,,-5666.546875,3675.908447,-3700.335693,,,,,,,,,,,,,,,,,,,,,
18,0.150000,-3640.265625,201.180344,2685.042236,1732.781860,167.236450,265.504242,1103.214844,60.647728,1283.111084,,,,-5666.555664,3675.911377,-3700.339111,,,,,,,,,,,,,,,,,,,,,
19,0.158000,-3640.238525,201.061310,2685.039551,,,,1103.188354,60.605038,1283.123657,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.166000,-3640.286133,201.050720,2685.032227,1732.792969,167.256241,265.478149,1103.157227,60.573429,1283.112183,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.175000,-3640.310791,201.257294,2685.048340,1732.810425,167.218353,265.467285,1103.192871,60.622334,1283.139038,1902.649292,-454.582764,110.361427,,,,,,,,,,,,,,,,,,,,,,,,
22,0.183000,-3640.268555,201.186951,2685.038330,1732.807739,167.247665,265.453766,1103.216187,60.641556,1283.081543,,,,-5666.567383,3675.942871,-3700.340088,,,,,,,,,,,,,,,,,,,,,
23,0.191000,-3640.281738,201.134735,2684.978271,1732.796387,167.221634,265.488739,1103.211792,60.627670,1283.090576,1902.639282,-454.592834,110.314072,-5666.573242,3675.953857,-3700.345947,,,,,,,,,,,,,,,,,,,,,
24,0.200000,-3640.263916,201.123596,2684.989502,,,,1103.188477,60.609936,1283.137573,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0.208000,-3640.260986,201.139389,2685.060303,,,,1103.207886,60.625038,1283.129395,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0.216000,-3640.270264,201.193512,2685.052490,,,,1103.238281,60.656158,1283.124512,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,0.225000,-3640.236084,201.071320,2684.975342,1732.789062,167.224533,265.483124,1103.174683,60.610413,1283.132080,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,0.233000,-3640.263428,201.060501,2685.012451,,,,1103.184448,60.602745,1283.130859,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,0.241000,-3640.284668,201.131409,2685.066650,1732.775269,167.235611,265.498993,1103.220947,60.635876,1283.121460,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,0.250000,-3640.258789,201.129608,2685.031250,,,,1103.197632,60.631516,1283.169556,1902.660767,-454.643433,110.311806,,,,,,,,,,,,,,,,,,,,,,,,
31,0.258000,-3640.275879,201.112335,2685.025635,1733.368408,166.589478,265.449768,1103.213013,60.615147,1283.128296,,,,-5666.535156,3675.915527,-3700.327881,,,,,,,,,,,,,,,,,,,,,
32,0.266000,-3640.244629,201.127411,2684.993164,1733.383789,167.460129,265.987244,1103.188599,60.614250,1283.145020,,,,-5666.540527,3675.924805,-3700.319336,,,,,,,,,,,,,,,,,,,,,
33,0.275000,-3640.275146,201.104340,2685.080811,,,,1103.170654,60.588600,1283.126831,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,0.283000,-3640.291992,201.110794,2685.048096,,,,1103.177368,60.610226,1283.141479,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,0.291000,-3640.295898,201.111359,2685.032227,,,,1103.226685,60.652367,1283.139771,,,,-5666.568359,3675.930176,-3700.323486,,,,,,,,,,,,,,,,,,,,,
36,0.300000,-3640.291016,201.169724,2685.047119,,,,1103.211914,60.657860,1283.118408,1902.661133,-454.599640,110.321045,,,,,,,,,,,,,,,,,,,,,,,,
37,0.308000,-3640.253662,201.113022,2685.057129,,,,1103.226929,60.621124,1283.121094,,,,-5666.521973,3675.910889,-3700.312500,,,,,,,,,,,,,,,,,,,,,
38,0.316000,-3640.277344,201.061981,2685.013184,,,,1103.185425,60.611481,1283.132324,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,0.325000,-3640.251709,201.020950,2685.033691,1732.789673,167.236206,265.496552,1103.161133,60.578583,1283.151245,,,,-5666.588379,3675.944824,-3700.338623,,,,,,,,,,,,,,,,,,,,,
