Format Version,1.23,Take Name,Planes_1,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2022-05-03 03.43.57.867 PM,Capture Start Frame,84322,Total Frames in Take,1243,Total Exported Frames,1243,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Atlas_RigidBody:Marker1,Atlas_RigidBody:Marker1,Atlas_RigidBody:Marker1,Atlas_RigidBody:Marker2,Atlas_RigidBody:Marker2,Atlas_RigidBody:Marker2,Atlas_RigidBody:Marker3,Atlas_RigidBody:Marker3,Atlas_RigidBody:Marker3,Atlas_RigidBody:Marker4,Atlas_RigidBody:Marker4,Atlas_RigidBody:Marker4,PlyWood:Marker1,PlyWood:Marker1,PlyWood:Marker1,PlyWood:Marker2,PlyWood:Marker2,PlyWood:Marker2,PlyWood:Marker3,PlyWood:Marker3,PlyWood:Marker3,RampBox:Marker1,RampBox:Marker1,RampBox:Marker1,RampBox:Marker2,RampBox:Marker2,RampBox:Marker2,RampBox:Marker3,RampBox:Marker3,RampBox:Marker3,RampBox:Marker4,RampBox:Marker4,RampBox:Marker4,Stairs:Marker1,Stairs:Marker1,Stairs:Marker1,Stairs:Marker2,Stairs:Marker2,Stairs:Marker2,Stairs:Marker3,Stairs:Marker3,Stairs:Marker3,Unlabeled 1015,Unlabeled 1015,Unlabeled 1015,Unlabeled 1016,Unlabeled 1016,Unlabeled 1016,Unlabeled 1017,Unlabeled 1017,Unlabeled 1017,Unlabeled 1018,Unlabeled 1018,Unlabeled 1018,Unlabeled 1019,Unlabeled 1019,Unlabeled 1019,Unlabeled 1020,Unlabeled 1020,Unlabeled 1020,Unlabeled 1024,Unlabeled 1024,Unlabeled 1024,Unlabeled 1025,Unlabeled 1025,Unlabeled 1025,Unlabeled 1027,Unlabeled 1027,Unlabeled 1027,WhiteBoard:Marker1,WhiteBoard:Marker1,WhiteBoard:Marker1,WhiteBoard:Marker2,WhiteBoard:Marker2,WhiteBoard:Marker2,WhiteBoard:Marker3,WhiteBoard:Marker3,WhiteBoard:Marker3,WhiteBoard:Marker4,WhiteBoard:Marker4,WhiteBoard:Marker4
,ID,"C3560","C3560","C3560","C3530","C3530","C3530","C3550","C3550","C3550","C3610","C3610","C3610","C0ACE26CCB2111EC7890003ED874FBA8","C0ACE26CCB2111EC7890003ED874FBA8","C0ACE26CCB2111EC7890003ED874FBA8","C0ACE26DCB2111EC7890003ED874FBA8","C0ACE26DCB2111EC7890003ED874FBA8","C0ACE26DCB2111EC7890003ED874FBA8","C0ACE26ECB2111EC7890003ED874FBA8","C0ACE26ECB2111EC7890003ED874FBA8","C0ACE26ECB2111EC7890003ED874FBA8","C3580","C3580","C3580","C3590","C3590","C3590","C35D0","C35D0","C35D0","C3600","C3600","C3600","C3500","C3500","C3500","C3510","C3510","C3510","C3520","C3520","C3520","C3540","C3540","C3540","C3570","C3570","C3570","C35B0","C35B0","C35B0","C3620","C3620","C3620","C49D0","C49D0","C49D0","C49E0","C49E0","C49E0","C49F0","C49F0","C49F0","C4A00","C4A00","C4A00","C4A20","C4A20","C4A20","C35A0","C35A0","C35A0","C35C0","C35C0","C35C0","C35E0","C35E0","C35E0","C35F0","C35F0","C35F0"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-4064.735352,2059.567627,-1900.902344,-4155.719727,2070.979980,-1909.860229,-4082.301514,2070.860596,-1773.635376,-4149.452148,2081.131836,-1784.718872,,,,,,,,,,-3476.368896,634.160095,393.111847,-3063.030762,1876.954102,593.699646,-2855.360840,638.102478,-848.797180,-2456.157227,1877.035645,-658.850098,-6638.443848,254.307236,35.717022,-5234.350586,1100.042847,-53.200367,-4302.155762,1102.017578,-106.212608,-4156.316895,1288.517944,-4265.079590,-3632.252441,21.676870,-3739.574951,-2926.370361,1238.487915,-3389.941895,-3639.815674,200.769836,2684.535400,,,,,,,,,,,,,,,,-3026.183350,13.603305,-2352.275146,-2910.364258,1845.077881,-2396.523438,-2579.370361,11.214571,-1229.986938,-2477.860352,1845.017578,-1275.969849
1,0.008000,-4064.723877,2059.566406,-1900.893433,-4155.717285,2070.993652,-1909.848511,-4082.300781,2070.864258,-1773.626709,-4149.449219,2081.146729,-1784.713867,,,,,,,,,,-3476.385498,634.168823,393.115112,-3062.638672,1876.705688,593.838379,-2855.376221,638.134338,-848.795349,-2456.313721,1877.847534,-659.369324,-6638.436035,254.323898,35.732136,-5234.356934,1100.047363,-53.199326,-4302.143066,1102.039917,-106.206520,-4156.318359,1288.539062,-4265.061523,-3632.270508,21.717974,-3739.541992,-2926.371826,1238.550659,-3389.942871,-3639.830566,200.808624,2684.595703,-5698.588867,3665.660400,-3627.966553,1705.087158,380.855377,370.644684,,,,,,,,,,-3026.187988,13.628568,-2352.263672,-2910.354492,1845.070557,-2396.514404,-2579.399658,11.249878,-1229.980957,-2477.858643,1845.030762,-1275.951294
2,0.016000,-4064.722168,2059.580078,-1900.883179,-4155.712891,2071.017822,-1909.844971,-4082.298828,2070.882568,-1773.618164,-4149.438477,2081.201172,-1784.713501,,,,,,,,,,-3476.397705,634.223083,393.133362,-3063.011719,1877.652344,593.804504,-2855.362793,638.147888,-848.777100,-2456.617188,1878.737671,-659.591309,-6638.428711,254.329239,35.756882,-5234.348145,1100.059692,-53.182987,-4302.116211,1102.093994,-106.195694,-4156.334961,1288.440674,-4265.191895,-3632.251953,21.717289,-3739.576660,-2926.389648,1238.498901,-3389.967773,-3639.802246,200.684189,2684.568115,-5698.547852,3665.630371,-3627.959473,1705.098877,380.877960,370.628143,,,,,,,,,,-3026.187256,13.604913,-2352.266602,-2910.350586,1845.131714,-2396.522461,-2579.352539,11.279626,-1229.942017,-2477.855469,1845.068359,-1275.960815
3,0.025000,-4064.733398,2059.567383,-1900.891846,-4155.712891,2071.019531,-1909.849854,-4082.293457,2070.875977,-1773.623291,-4149.436523,2081.210693,-1784.736572,,,,,,,,,,-3476.382324,634.202576,393.134552,-3063.026855,1877.706421,593.789490,-2855.357910,638.121277,-848.783569,-2456.708740,1878.323364,-659.711731,-6638.419922,254.316238,35.768887,-5234.345703,1100.063965,-53.181423,-4302.114746,1102.073730,-106.191772,-4156.356445,1288.431152,-4265.207520,-3632.233154,21.691517,-3739.572510,-2926.366943,1238.459351,-3389.940186,-3639.789062,200.562836,2684.526611,-5698.559570,3665.646484,-3627.962158,,,,,,,,,,,,,-3026.181152,13.624289,-2352.256836,-2910.355957,1845.118652,-2396.523682,-2579.352783,11.247067,-1229.962402,-2477.851807,1845.060181,-1275.970703
4,0.033000,-4064.724854,2059.542969,-1900.882202,-4155.728027,2070.979736,-1909.838135,-4082.299316,2070.868896,-1773.628418,-4149.448242,2081.148438,-1784.729980,-4156.305664,1288.479858,-4265.039551,-3632.235596,21.675951,-3739.570312,-2928.469727,1236.825928,-3394.292725,-3476.375488,634.151245,393.135712,-3063.032715,1877.687988,593.773315,-2855.357910,638.106506,-848.812256,-2456.335449,1877.865723,-659.443665,-6638.450195,254.298233,35.770191,-5234.356445,1100.060181,-53.210640,-4302.134766,1102.032715,-106.210037,,,,,,,,,,-3639.812256,200.736053,2684.543457,-5698.572754,3665.656250,-3627.969238,,,,,,,,,,,,,-3026.182129,13.634058,-2352.262939,-2910.348877,1845.082397,-2396.526855,-2579.356934,11.183316,-1229.952881,-2477.854492,1845.033936,-1275.979370
5,0.041000,-4064.731201,2059.541748,-1900.864868,-4155.725098,2070.979004,-1909.822754,-4082.304443,2070.858643,-1773.624146,-4149.451172,2081.159180,-1784.706421,-4156.323242,1288.464844,-4265.116699,-3632.241211,21.720535,-3739.551270,-2928.469238,1236.790894,-3394.356201,-3476.390625,634.150879,393.115601,-3062.669189,1876.779541,593.842834,-2855.363525,638.115784,-848.792175,-2456.307617,1877.872925,-659.389954,-6638.447754,254.253799,35.766708,-5234.357910,1100.050171,-53.204781,-4302.376465,1101.842896,-106.552025,,,,,,,,,,-3639.852051,200.854034,2684.593750,,,,1705.094727,380.880524,370.647217,,,,,,,,,,-3026.196045,13.653916,-2352.241699,-2910.352539,1845.102417,-2396.493652,-2579.378418,11.254800,-1229.972290,-2477.855957,1845.027466,-1275.953735
